Name,Location,Price
"ÇÖZÜM'DEN KÖŞEBAŞI SATILIK E.BANYOLU ARA KATTA 3+1 DAİRE!
            ","['Keçiören', ' Ankara']",1.550.000 TL
"HÜRRİYETTE SATILIK 2+1 ÇATI KATI DAİRE
            ","['Bağcılar', ' İstanbul']",790.000 TL
"Bodrum Merkezde 2+1 Satılık
            ","['Bodrum', ' Muğla']",6.500.000 TL
"YENİŞEHİR EMİNEVİM 5YÜZ60 SİTESİNDE 2+1 SATILIK EŞYALI DAİRE
            ","['Pendik', ' İstanbul']",4.200.000 TL
"AKVA İNŞAAT'TAN 0.99 KREDİYE UYGUN GENİŞ KULLANIŞLI2+1 DAİRE!!
            ","['Beylikdüzü', ' İstanbul']",1.050.000 TL
"BÜYÜK BÖLCEK MAH.ANA CAD.ÜZERİNDE FIRSAT SATILIK 3+1 DAİRE
            ","[' Merkez', ' Aksaray']",979.000 TL
"KARŞIYAKA BAHÇELİEVLER FIRSAT!! 2+1 SATILIK DAİRE
            ","['Karşıyaka', ' İzmir']",2.525.000 TL
"AKÇAY KÖŞEM EMLAKTAN EDREMİT GAZİCELAL de 3+1 DOĞAL GAZLI
            ","['Edremit', ' Balıkesir']",2.100.000 TL
"METRO DURAĞINA YAKIN EKŞİOĞLU AKKENT 1 SİTESİ 150 M2 3+1
            ","['Ümraniye', ' İstanbul']",5.700.000 TL
"EMLAKYAP'TAN MAVERA COMFORT 2+1 SATILIK SIFIR DAİRE
            ","['Başakşehir', ' İstanbul']",7.490.000 TL
"Dalaman Hürriyet Mahallesinde 3+1 140 m2 Sıfır Daire
            ","['Dalaman', ' Muğla']",2.600.000 TL
"Poligon Meydanda Caddede 3+1 Lüks Yapılı Otoparklı Asansörlü
            ","['Karabağlar', ' İzmir']",4.950.000 TL
"KUŞADASI KADINLAR DENİZİ 3+1 MANZARALI DAİRE
            ","['Kuşadası', ' Aydın']",3.100.000 TL
"YILMAZER'DEN FERİDUNÇELİKTE BİR HAFTA GEÇERLİ KELEPİR FİYATA!!
            ","['Altındağ', ' Ankara']",1.295.000 TL
"TURGUTREİS MERKEZDE SATILIK 2+1 BAHÇE KATI DAİRE
            ","['Bodrum', ' Muğla']",5.150.000 TL
"Avcılar Gümüşpala Mahallesi Sıfır Binada Satılık 1+1 Daire
            ","['Avcılar', ' İstanbul']",1.700.000 TL
"Bodrum Yalıkavak Dirmil'de Satılık Full Deniz Manzaralı Daire
            ","['Bodrum', ' Muğla']",9.400.000 TL
